BOROUGH,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,SALE_PRICE,PRICE_B
2,01 ONE FAMILY DWELLINGS                    ,A2,1,3900,920,1920,1,419700,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2033,1280,1950,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2900,968,1920,1,450000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1563,1714,1961,1,405000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2175,640,1932,1,280000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1084,1930,1,360000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,4280,1411,1930,1,334000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1806,1349,1925,1,310000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2633,1184,1930,1,120000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,896,1930,1,390000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,896,1930,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,896,1930,1,198000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2780,1024,1925,1,325000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1116,1959,1,241500,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2375,1479,1931,1,485000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,4750,1408,1935,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1654,1920,1,245000,0.0
2,01 ONE FAMILY DWELLINGS                    ,S1,2,2500,1394,1964,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1858,1952,1,392200,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1424,1920,1,27000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1240,1925,1,390000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1386,1925,1,405000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,3333,1512,1939,1,243360,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3563,2080,1920,1,416000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2760,1056,1925,1,315000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,1953,600,1925,1,1000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2375,1341,1930,1,400000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1152,1940,1,449000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1152,1940,1,265161,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1152,1940,1,282500,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1340,1925,1,375000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1800,1690,1960,1,250000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2375,1224,1930,1,499900,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2375,1224,1930,1,190000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,4750,1400,1920,1,485000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1980,1260,1950,1,445000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1980,1260,1950,1,175000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1930,1935,1,457000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1140,1935,1,281000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1670,1156,1960,1,338000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1718,1088,1960,1,395200,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,1558,2240,1960,1,174300,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2375,1260,1910,1,230000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3750,1712,1955,1,410000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2500,2145,1932,1,231000,0.0
2,01 ONE FAMILY DWELLINGS                    ,S1,2,5000,1216,1930,1,700000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2500,861,1915,1,240000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,4755,1487,1959,1,337400,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,5000,707,1940,1,320000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,4500,750,1950,1,370000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1900,2125,1945,1,340000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,2691,2842,2003,1,334000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2593,2643,1945,1,10,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2550,2643,1945,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B9,2,2375,2110,1950,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,2375,1810,1920,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,2375,1810,1920,1,435000,0.0
